season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,cluster_kmeans,cluster_agg,pca1,pca2
1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16,1,1,-2.7713771995938057,0.07543123221112003
1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40,1,1,-2.6377299327065327,0.12645353877387142
1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32,1,1,-2.592028992314533,0.143605171158651
1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13,1,1,-2.4214530349976564,0.21549237285688144
1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1,1,1,-2.3884055291749897,0.23834383979698393
1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1,1,1,-2.115993532204228,0.6889879644394588
1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,1,1,-2.4028985134618694,0.2093617834201079
1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3,1,1,-2.5127977759346063,0.1548727012846204
1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8,1,1,-2.0822307805560025,0.2513769824217043
1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14,1,1,-1.8659228129682248,-0.010033021165931372
1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36,1,1,-1.0420116951808869,1.0449272258058313
1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56,2,1,-1.000199018494338,1.131581889616518
1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84,2,1,-0.6299844362138457,0.9973123965330731
1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94,2,1,-0.296499022134449,1.0421446926538263
1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106,2,1,-0.22102334631607237,0.9568139691773011
1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110,2,1,-0.26354162678633325,0.9917882566944897
1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93,2,1,-0.40598287616587214,0.982703492542433
